"KID","API_NUMBER","API_NUM_NODASH","LEASE","WELL","FIELD","LATITUDE","LONGITUDE","LONG_LAT_SOURCE","TOWNSHIP","TWN_DIR","RANGE","RANGE_DIR","SECTION","SPOT","FEET_NORTH","FEET_EAST","FOOT_REF","ORIG_OPERATOR","CURR_OPERATOR","ELEVATION","ELEV_REF","DEPTH","PRODUCE_FORM","IP_OIL","IP_GAS","IP_WATER","PERMIT","SPUD","COMPLETION","PLUGGING","MODIFIED","OIL_KID","OIL_DOR_ID","GAS_KID","GAS_DOR_ID","KCC_DOCKET","STATUS","STATUS2","COMMENTS"
"1006053058","15-055-21045","15055210450000","Shrimplin Gas Unit","2HI","HUGOTON GAS AREA","37.978076","-100.987305","Calc. from footages","24","S","33","W","7"," N2 NW SE SW","1250","-3630","SE","Amoco Production Co.","Linn Operating, Inc.","2883"," KB","3095","Chase Group","","","","23-DEC-1991","08-FEB-1992","28-MAY-1992","","27-JUL-2012","","","1001123415","219109","","GAS","Producing",""
"1006052661","15-055-20824","15055208240000","NOLAN","4-16","HUGOTON GAS AREA","37.7812015","-101.0474465","Calc. from footages","26","S","34","W","16","  SW SE SW","330","-3600","SE","UNION PACIFIC RESOURCES","Merit Energy Company, LLC","2971"," KB","5300","Chase Group","","","","","17-NOV-1988","01-DEC-1989","","11-JAN-2011","","","1001122053","216168","","GAS","Producing",""
"1006079630","15-093-21250","15093212500000","SHANKLE","2-9","HUGOTON GAS AREA","38.0633727","-101.3891894","Calc. from footages","23","S","37","W","9","  NW SE SW","990","-3630","SE","Amoco Production Co.","OXY USA Inc.","3303"," KB","5150","","","","","19-JAN-1993","05-FEB-1993","23-FEB-1993","","04-JUN-2013","","","1001105715","218857","","D&A","Recompleted",""
"1006155585","15-187-20661","15187206610000","Luke Gas Unit","4","HUGOTON GAS AREA","37.4499614","-101.6121913","Calc. from footages","30","S","39","W","8"," NE NE SW SW","1250","-4030","SE","Amoco Production Co.","BP America Production Company","3226"," KB","3347","Chase Group","","","","19-JAN-1993","26-MAR-1993","30-AUG-1993","","20-MAR-2013","","","","","","GAS","Recompleted",""
"1004753482","15-189-10106","15189101060000","NEWBY","1","HUGOTON GAS AREA","37.32596","-101.32513","From GPS","31","S","37","W","27","  NW SE NE","-1300","-1311","NE","PANHANDLE EASTERN PIPE LI","Anadarko E & P Onshore LLC","3099"," DF","2850","Chase Group","","","","","03-JAN-1938","","","22-AUG-2013","","","1001122022","203005","","GAS","Producing","SHELL 5-D-60 1800-2850, REBONED SHELL #5-D-60 (CUTTINGS WELL_ID=117362)"
"1004753643","15-189-00588","15189005880000","Kimzey","1","HUGOTON GAS AREA","37.1056292","-101.3122288","Calc. from footages","34","S","37","W","11","C  SE SE NW","2970","-2970","SE","Republic Natural Gas Co.","Linn Operating, Inc.","3126"," KB","2895","Chase Group","","","","","19-FEB-1947","11-MAR-1947","","22-FEB-2016","","","1001116931","202241","","GAS","Producing",""
"1006063885","15-067-20338","15067203380000","Alexander 'D'","2","PANOMA GAS AREA","37.6747257","-101.1675259","Calc. from footages","27","S","35","W","29","C    NE","-1225","-1300","NE","Cities Service Oil Co.","Merit Energy Company, LLC","3100"," KB","3150","Council Grove Group","","","","","11-MAR-1975","09-JUL-1975","","15-OCT-2014","","","1001103368","208666","","GAS","Producing",""
"1006157741","15-189-20982","15189209820000","Churchman Bible","2","Cave","37.3564256","-101.1060452","From GPS","31","S","35","W","15"," N2 S2 NE NE","-759","-651","NE","Mobil Oil Corp.","WM KS Energy Resources LLC","3015"," KB","5964","Chester","290","15","0","","31-JAN-1987","20-FEB-1987","","30-MAR-2015","1001138579","126027","","","","OIL","Producing",""
"1006068505","15-075-20543","15075205430000","CROSS H CATTLE CO","1-6","HUGOTON GAS AREA","37.9105826","-101.6464517","Calc. from footages","25","S","39","W","6","C    NW","3960","-3960","SE","Amoco Production Co.","BP America Production Company","3222"," KB","3150","","","","","17-MAR-1994","24-MAY-1994","04-JUN-1994","01-NOV-1994","24-MAY-2006","","","","","","D&A","Plugged and Abandoned",""

